Timestamp,Event,Value
1735576541.6128302,CAD operativo,30769
1735576541.6218305,CAD operativo,30778
1735576541.6301079,CAD operativo,30786
1735576541.6381087,CAD operativo,30794
1735576541.647108,CAD operativo,30803
1735576541.6550686,CAD operativo,30811
1735576541.6623626,CAD operativo,30819
1735576541.6701162,CAD operativo,30827
1735576541.6793668,CAD operativo,30836
1735576541.687367,CAD operativo,30844
1735576541.6953351,CAD operativo,30852
1735576541.704672,CAD operativo,30861
1735576541.7131135,CAD operativo,30869
1735576541.7205975,CAD operativo,30877
1735576541.7296095,CAD operativo,30886
1735576541.7376423,CAD operativo,30894
1735576541.7458353,CAD operativo,30902
1735576541.7540956,CAD operativo,30910
1735576541.7620928,CAD operativo,30919
1735576541.770478,CAD operativo,30927
1735576541.7791588,CAD operativo,30935
1735576541.7872922,CAD operativo,30944
1735576541.7961006,CAD operativo,30952
1735576541.8033612,CAD operativo,30960
1735576541.8110547,CAD operativo,30968
1735576541.8209584,CAD operativo,30977
1735576541.829091,CAD operativo,30985
1735576541.837202,CAD operativo,30993
1735576541.8454294,CAD operativo,31002
1735576541.8534887,CAD operativo,31010
1735576541.8621192,CAD operativo,31018
1735576541.8711333,CAD operativo,31027
1735576541.879097,CAD operativo,31035
1735576541.8863895,CAD operativo,31043
1735576541.8943872,CAD operativo,31051
1735576541.903108,CAD operativo,31060
1735576541.9112592,CAD operativo,31068
1735576541.920257,CAD operativo,31076
1735576541.9291124,CAD operativo,31085
1735576541.9366512,CAD operativo,31093
1735576541.944825,CAD operativo,31101
1735576541.953166,CAD operativo,31110
1735576541.9620993,CAD operativo,31118
1735576541.9701998,CAD operativo,31126
1735576541.9782128,CAD operativo,31134
1735576541.986617,CAD operativo,31143
1735576541.994624,CAD operativo,31151
1735576542.002628,CAD operativo,31159
1735576542.011717,CAD operativo,31168
1735576545.3247802,Mensaje recibido,34478
1735576545.3297803,CAD operativo,34486
1735576545.3382106,CAD operativo,34494
1735576545.3469632,CAD operativo,34503
1735576545.3543873,CAD operativo,34511
1735576545.362398,CAD operativo,34519
1735576545.3716602,CAD operativo,34528
1735576545.3794787,CAD operativo,34536
1735576545.388189,CAD operativo,34544
1735576545.396783,CAD operativo,34552
1735576545.4045358,CAD operativo,34561
1735576545.4132154,CAD operativo,34569
1735576545.420919,CAD operativo,34577
1735576545.4292176,CAD operativo,34586
1735576545.43773,CAD operativo,34594
1735576545.4461837,CAD operativo,34602
1735576545.454862,CAD operativo,34611
1735576545.463105,CAD operativo,34619
1735576545.4713783,CAD operativo,34627
1735576545.4793906,CAD operativo,34635
1735576545.4880133,CAD operativo,34644
1735576545.4961905,CAD operativo,34652
1735576545.5034988,CAD operativo,34660
1735576545.5131981,CAD operativo,34669
1735576545.5212078,CAD operativo,34677
1735576545.5286303,CAD operativo,34685
1735576545.538032,CAD operativo,34694
